api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-103-00650,103-00650,"39.549638055354926","-80.63213734902179",WV,"103",,"COX, D.",EQT PRODUCTION COMPANY,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-103-00650,,"4620260"
47-001-01895,001-01895,"37.0462224768942","-81",WV,"001",,"BOTTNER, WILLIAM",BEREA OIL & GAS CORP.,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-01895,,"4620261"
47-021-00159,021-00159,"38.83955780935598","-80.98451726130781",WV,"021",,"SUMMERS, A. I.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-021-00159,,"4620262"
47-035-00027,035-00027,"38.75546954263773","-81.53988354450183",WV,"035",,"KELLEY, J. W.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-035-00027,,"4620263"
47-017-05949,017-05949,"39.43109158631019","-80.6428867559246",WV,"017",,"MOORE, CARRIE J.","JAY-BEE OIL & GAS, INC.",,,Unknown,Never Issued,Vertical,Not Drilled,https://wellwiki.org/wiki/47-017-05949,,"4620264"
47-035-00459,035-00459,"38.71172593127866","-81.63029080330158",WV,"035",,"CHARCEY, MARY, ETAL","COLUMBIA NATURAL RESOURCES, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-035-00459,,"4620265"
47-041-00375,041-00375,"38.98601684058961","-80.48822661715539",WV,"041",,U.S.A.,"EQUITRANS, L. P.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-041-00375,,"4620266"
47-039-02129,039-02129,"38.481917404815896","-81.41721009844039",WV,"039",,1-79 PROPERTIES,QUAKER STATE CORPORATION,,,Brine Disposal,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-039-02129,,"4620267"
47-017-03029,017-03029,"39.160978797636496","-80.80459569776127",WV,"017",,BOWEN/RICHARDS,STUART PETROLEUM COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-017-03029,,"4620268"
47-041-02141,041-02141,"39.04840084495708","-80.5266299377043",WV,"041",,"ROWAN, CLARA","HAUGHT, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-041-02141,,"4620269"
47-073-00824,073-00824,"37.0462224768942","-81",WV,"073",,"COX, THOMAS J.",KEY OIL CO.,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-073-00824,,"4620270"
47-033-04119,033-04119,"39.37100449259368","-80.38174783387656",WV,"033",,"ROSS, ROBERT J., ETUX",TRIO PETROLEUM CORP.,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-033-04119,,"4620271"
47-039-03931,039-03931,"38.33659900220518","-81.85750565799633",WV,"039",,"KEIFFER, JACK R.",PRIME OPERATING COMPANY,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-039-03931,,"4620272"
47-041-00222,041-00222,"38.96453874626566","-80.32118270439064",WV,"041",,"LINGER, R. B.","PEMCO GAS, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-041-00222,,"4620273"
47-043-01490,043-01490,"38.251497688998306","-81.93295751909424",WV,"043",,"MILLER, BILLY & DARLENE","EAST RESOURCES, INC.",,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-01490,,"4620274"
47-045-00667,045-00667,"37.75592652658307","-81.86104117497023",WV,"045",,TRIAD COMPANY,OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-045-00667,,"4620275"
47-005-00175,005-00175,"38.10231326227606","-81.82801960162752",WV,"005",,"CABELL, S. P.",LIBBEY OWENS GAS,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-00175,,"4620276"
47-049-02158,049-02158,"39.59874699755895","-80.23317450580352",WV,"049",,"NEBERA, NAOMI M. & WILLIAM",EQT PRODUCTION COMPANY,,,Unknown,Never Drilled,Horizontal,Not Drilled,https://wellwiki.org/wiki/47-049-02158,,"4620277"
