api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-001-02028,001-02028,"39.215478360583106","-80.09397545269829",WV,"001",,"CORDER, LACO B.",WOLF RUN MINING LLC,,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-02028,,"4621421"
47-105-00978,105-00978,"37.0462224768942","-81",WV,"105",,"JONES, LEO F.",BOW VALLEY/RAY RES,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00978,,"4621422"
47-105-00979,105-00979,"38.93551487296502","-81.34678156001365",WV,"105",,"STEWART, JAMES",OPERATOR UNKNOWN,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-105-00979,,"4621423"
47-105-00980,105-00980,"38.92348679020051","-81.3663953096143",WV,"105",,"STEWART, JAMES",B. & L. OIL COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00980,,"4621424"
47-105-00983,105-00983,"38.92974729633302","-81.35431159318021",WV,"105",,"MURRAY, ROBERT B.",B. & L. OIL COMPANY,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-105-00983,,"4621425"
47-105-00987,105-00987,"37.0462224768942","-81",WV,"105",,"PHILLIPS, REBECCA",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00987,,"4621426"
47-105-00988,105-00988,"37.0462224768942","-81",WV,"105",,"PHILLIPS, REBECCA",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00988,,"4621427"
47-105-00989,105-00989,"37.0462224768942","-81",WV,"105",,"JONES, MYRTLE",BOW VALLEY/RAY RES,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00989,,"4621428"
47-105-00990,105-00990,"37.0462224768942","-81",WV,"105",,"MCCRAY, LEOLA, ET AL",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00990,,"4621429"
47-105-00996,105-00996,"37.0462224768942","-81",WV,"105",,"MILLS, VONDA B., ET AL",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00996,,"4621430"
47-105-00997,105-00997,"37.0462224768942","-81",WV,"105",,"MILLS, VONDA B., ET AL",OPERATOR UNKNOWN,,,Not Available,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00997,,"4621431"
47-105-01002,105-01002,"37.0462224768942","-81",WV,"105",,"GOODWIN, MAGGIE",BOW VALLEY/RAY RES,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-01002,,"4621432"
47-001-02256,001-02256,"38.972193177656685","-80.0385440403892",WV,"001",,"SIMPSON, WILLIAM C.",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02256,,"4621433"
47-001-02268,001-02268,"39.06204088112268","-80.0621907109063",WV,"001",,"CONLEY, JOHN T. - HEIR",LOCK 3 COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02268,,"4621434"
47-001-02285,001-02285,"39.187754947562375","-79.9528678625701",WV,"001",,"MOATS, ROBERT & RUBY",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02285,,"4621435"
